# Program:featureCounts v2.0.6; Command:"./bin/featureCounts" "-a" "PlasmoDB-65_Pfalciparum3D7.gff" "-o" "test3" "-p" "-B" "-C" "/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam" 
Geneid	Chr	Start	End	Strand	Length	/depot/heqixin/data/Pf_282samples_bam_BQSR/Sample5027250_recal_realn.bam
PF3D7_0104600	Pf3D7_01_v3	205812	210273	+	4462	16622
PF3D7_0104700	Pf3D7_01_v3	210870	213005	+	2136	14908
PF3D7_0104800	Pf3D7_01_v3	215143	217616	+	2474	14423
PF3D7_0104900	Pf3D7_01_v3	218517	218824	-	308	923
PF3D7_0105000	Pf3D7_01_v3	218894	219223	-	330	649
PF3D7_0105100	Pf3D7_01_v3	220727	221928	+	1202	2569
PF3D7_0105200	Pf3D7_01_v3	222086	224501	-	2416	11144
PF3D7_0105300	Pf3D7_01_v3;Pf3D7_01_v3	224638;225764	225582;226017	-;-	1199	3089
PF3D7_0105400	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	226036;226681;227075;227075	226892;226871;227285;227419	-;-;-;-	1202	2492
PF3D7_0105500	Pf3D7_01_v3	228485	229519	-	1035	6136
PF3D7_0105600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	229943;231631;234260	231382;234068;234464	-;-;-	4083	15268
PF3D7_0105700	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	236742;237092;237755	236885;237329;248183	+;+;+	10811	70911
PF3D7_0105800	Pf3D7_01_v3;Pf3D7_01_v3	248434;250648	250366;253057	-;-	4343	16663
PF3D7_0105900	Pf3D7_01_v3	253089	255771	+	2683	5781
PF3D7_0106000	Pf3D7_01_v3	255113	258624	-	3512	28011
PF3D7_0106100	Pf3D7_01_v3	260105	262008	-	1904	7111
PF3D7_0106200	Pf3D7_01_v3;Pf3D7_01_v3	262750;264096	263859;264323	-;-	1338	2485
PF3D7_0106300	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	264487;265674;266116	265537;265972;270234	-;-;-	5469	29269
PF3D7_0106400	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	272296;272667;272859;273180	272515;272764;272944;273701	+;+;+;+	926	1849
PF3D7_0106500	Pf3D7_01_v3	274094	278747	+	4654	19286
PF3D7_0106600	Pf3D7_01_v3	279115	280014	+	900	2403
PF3D7_0106700	Pf3D7_01_v3	280595	285875	+	5281	28553
PF3D7_0106800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	286637;287269;287561;287779;287972;288214;288522;288712;288880	287050;287352;287630;287817;288084;288266;288615;288764;289063	+;+;+;+;+;+;+;+;+	1104	2866
PF3D7_0106900	Pf3D7_01_v3	289849	292802	+	2954	5534
PF3D7_0107000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	293262;293960;294250;294433;294710;294882	293765;294027;294336;294513;294769;295139	+;+;+;+;+;+	1058	2374
PF3D7_0107100	Pf3D7_01_v3	295177	296959	-	1783	4703
PF3D7_0107200	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	297189;297644;297899;298114;298301;298556;298694;298850;299063;299322	297535;297768;297992;298188;298480;298602;298739;298927;299181;299513	+;+;+;+;+;+;+;+;+;+	1303	3487
PF3D7_0107300	Pf3D7_01_v3;Pf3D7_01_v3	299464;300200	300092;301151	-;-	1581	8868
PF3D7_0107400	Pf3D7_01_v3	302509	304236	+	1728	1734
PF3D7_0107500	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	303437;304604;304876;305123	304436;304733;304948;311928	-;-;-;-	8009	32603
PF3D7_0107600	Pf3D7_01_v3	313824	319525	+	5702	15441
PF3D7_0107700	Pf3D7_01_v3	320168	321508	+	1341	3052
PF3D7_0107800	Pf3D7_01_v3	321757	326180	+	4424	9881
PF3D7_0107900	Pf3D7_01_v3	326323	327365	-	1043	3837
PF3D7_0108000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	328171;328609;328834;329556	328479;328703;329343;329995	-;-;-;-	1354	4863
PF3D7_0108100	Pf3D7_01_v3	330597	332834	+	2238	6258
PF3D7_0108300	Pf3D7_01_v3	334374	344369	+	9996	50691
PF3D7_0108400	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	344373;344676;344873;345142;345206;345318;345318;345503;345685;345685;346015;346015;346528;346528	344555;344730;344997;345213;345213;345401;345401;345570;345851;345851;346267;346267;346540;347320	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1800	4611
PF3D7_0108500	Pf3D7_01_v3	347246	350568	+	3323	486
PF3D7_0108600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	348892;350299;350545;350789;351034;351378	350099;350373;350677;350954;351226;351747	-;-;-;-;-;-	2145	3059
PF3D7_0108700	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	351787;352459;352683;353011	352356;352540;352815;356984	-;-;-;-	4759	31590
PF3D7_0108800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	357279;358046;358219;358505;358703;358895;359384;359745;359919;360119;360265	357849;358113;358350;358575;358758;359200;359563;359815;359972;360172;360804	+;+;+;+;+;+;+;+;+;+;+	2103	2959
PF3D7_0108900	Pf3D7_01_v3	361987	362586	-	600	379
PF3D7_0109000	Pf3D7_01_v3;Pf3D7_01_v3	362217;363318	362462;365209	+;+	2138	8087
PF3D7_0109100	Pf3D7_01_v3;Pf3D7_01_v3	365266;365920	365823;369336	+;+	3975	24676
PF3D7_0109200	Pf3D7_01_v3	369251	370907	-	1657	6396
PF3D7_0109300	Pf3D7_01_v3;Pf3D7_01_v3	371146;372876	372646;373063	-;-	1689	5900
PF3D7_0109400	Pf3D7_01_v3;Pf3D7_01_v3	373864;374959	374810;375683	-;-	1672	3451
PF3D7_0109500	Pf3D7_01_v3;Pf3D7_01_v3	376164;376830	376586;377704	-;-	1298	2356
PF3D7_0109600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	377795;378265;378461	378133;378318;378599	-;-;-	532	2043
PF3D7_0109700	Pf3D7_01_v3;Pf3D7_01_v3	378653;379659	379552;380086	-;-	1328	1747
PF3D7_0109800	Pf3D7_01_v3	380254	382568	+	2315	8622
PF3D7_0109850	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	383092;383887;384162;384400;384627;384897;385264;385461;385623;385905;386089;386331;386558	383722;384012;384270;384538;384807;385099;385385;385520;385767;385971;386150;386393;386632	+;+;+;+;+;+;+;+;+;+;+;+;+	1983	7522
PF3D7_0109950	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	386708;386871;387214;387435;387596;387874	386722;387042;387299;387462;387731;388186	+;+;+;+;+;+	750	2003
PF3D7_0110000	Pf3D7_01_v3	388192	389559	+	1368	4945
PF3D7_0110100	Pf3D7_01_v3	388887	392185	-	3299	40097
PF3D7_0110200	Pf3D7_01_v3	392323	393620	+	1298	3494
PF3D7_0110300	Pf3D7_01_v3	393216	393490	-	275	0
PF3D7_0110400	Pf3D7_01_v3;Pf3D7_01_v3	393695;394669	394457;395222	-;-	1317	5262
PF3D7_0110500	Pf3D7_01_v3;Pf3D7_01_v3	396580;403514	403355;403838	+;+	7101	41402
PF3D7_0110600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	405007;410320;410553;411301;411522;411883;412132	410133;410452;410950;411380;411560;411932;412453	+;+;+;+;+;+;+	6149	28766
PF3D7_0110700	Pf3D7_01_v3	413076	417001	-	3926	14411
PF3D7_0110800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	417254;418380;419035	417993;418837;420218	+;+;+	2382	6693
PF3D7_0110900	Pf3D7_01_v3	419727	420942	-	1216	2724
PF3D7_0111000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	421025;422128;422374;422732;422850;423091	421883;422283;422496;422791;422912;428878	-;-;-;-;-;-	7049	55023
PF3D7_0111200	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	429849;430520;430748	430230;430623;430879	-;-;-	618	2479
PF3D7_0111300	Pf3D7_01_v3	431167	436457	-	5291	22000
PF3D7_0111400	Pf3D7_01_v3	436179	439368	+	3190	6399
PF3D7_0111500	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	439395;439950;440555;440764;441098	439824;440393;440644;440851;442195	-;-;-;-;-	2150	5523
PF3D7_0111600	Pf3D7_01_v3	442380	443473	-	1094	1966
PF3D7_0111700	Pf3D7_01_v3	443476	444682	-	1207	1113
PF3D7_0111800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	444710;446892;447118;447339;447617;447841;448028;448392	446775;447016;447205;447422;447747;447904;448190;449954	+;+;+;+;+;+;+;+	4284	6589
PF3D7_0111900	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	449966;450297;450590	450099;450428;450646	-;-;-	323	1208
PF3D7_0112000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	450831;451238;451594;452590;452832	450873;451303;452440;452690;453195	-;-;-;-;-	1421	4255
PF3D7_0112100	Pf3D7_01_v3	454847	455338	+	492	1472
PF3D7_0112200	Pf3D7_01_v3	463764	471891	+	8128	35924
PF3D7_0112300	Pf3D7_01_v3	473739	475887	+	2149	80645
PF3D7_0112500	Pf3D7_01_v3	476287	476428	+	142	2872
PF3D7_0112700	Pf3D7_01_v3	477279	481382	+	4104	130614
PF3D7_0112800	Pf3D7_01_v3;Pf3D7_01_v3	481231;482518	482319;483218	-;-	1790	6058
PF3D7_0112900	Pf3D7_01_v3;Pf3D7_01_v3	483603;486707	486586;487841	+;+	4119	3401
PF3D7_0113000	Pf3D7_01_v3;Pf3D7_01_v3	487239;490053	489838;490901	-;-	3449	29199
PF3D7_0113100	Pf3D7_01_v3;Pf3D7_01_v3	494941;496405	496239;500347	+;+	5242	28900
PF3D7_0113200	Pf3D7_01_v3;Pf3D7_01_v3	500888;502641	502509;503795	-;-	2777	22227
PF3D7_0113300	Pf3D7_01_v3;Pf3D7_01_v3	504339;506764	506581;507459	-;-	2939	17527
PF3D7_0113400	Pf3D7_01_v3;Pf3D7_01_v3	507977;509542	509340;510158	-;-	1981	8946
PF3D7_0113600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	512086;514804;516582	514716;516580;517855	+;+;+	5682	44121
PF3D7_0113700	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	519766;521146;521396;522014	520917;521277;521795;523106	+;+;+;+	2777	8627
PF3D7_0113800	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	526530;530175;531652;534735	530065;531493;534459;536562	+;+;+;+	9491	43331
PF3D7_0113900	Pf3D7_01_v3;Pf3D7_01_v3	536783;537957	537771;538156	-;-	1189	3714
PF3D7_0114000	Pf3D7_01_v3;Pf3D7_01_v3	541805;542754	542641;547544	+;+	5628	68254
PF3D7_0114100	Pf3D7_01_v3;Pf3D7_01_v3	547245;548312	548217;548669	-;-	1331	21576
PF3D7_0114200	Pf3D7_01_v3;Pf3D7_01_v3	550576;551645	551550;551713	-;-	1044	16285
PF3D7_0114300	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	552640;552906;553108	552708;553106;553797	+;+;+	960	3495
PF3D7_0114400	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	554057;554270;554443;554639	554268;554441;554637;555439	-;-;-;-	1380	11046
PF3D7_0114500	Pf3D7_01_v3;Pf3D7_01_v3	557700;558640	558464;558946	-;-	1072	2466
PF3D7_0114600	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	560474;560809;561063;561209;561466	560806;561060;561206;561349;561534	-;-;-;-;-	939	17934
PF3D7_0114700	Pf3D7_01_v3;Pf3D7_01_v3	563703;564771	564602;564842	-;-	972	42431
PF3D7_0114750	Pf3D7_01_v3	566515	566691	-	177	1014
PF3D7_0114800	Pf3D7_01_v3;Pf3D7_01_v3	569485;570204	570048;570272	-;-	633	3560
PF3D7_0114900	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	572135;572448;572785	572445;572703;572853	-;-;-	636	4109
PF3D7_0115000	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	577704;578657;579071	578496;578922;583789	+;+;+	5778	132343
PF3D7_0115050	Pf3D7_01_v3	584722	584867	+	146	2583
PF3D7_0115100	Pf3D7_01_v3;Pf3D7_01_v3	587391;587606	587483;588394	+;+	882	8006
PF3D7_0115150	Pf3D7_01_v3;Pf3D7_01_v3;Pf3D7_01_v3	589386;589496;589878	589494;589875;589994	-;-;-	606	5542
PF3D7_0115200	Pf3D7_01_v3;Pf3D7_01_v3	591849;592135	591902;593187	+;+	1107	21790
PF3D7_0115300	Pf3D7_01_v3;Pf3D7_01_v3	595102;595317	595155;596273	+;+	1011	43754
PF3D7_0115400	Pf3D7_01_v3;Pf3D7_01_v3	598465;598636	598533;599472	+;+	906	3272
PF3D7_0115500	Pf3D7_01_v3;Pf3D7_01_v3	600692;601258	601255;601992	+;+	1299	26925
PF3D7_0115600	Pf3D7_01_v3;Pf3D7_01_v3	604162;604446	604215;605531	+;+	1140	28146
PF3D7_0115700	Pf3D7_01_v3;Pf3D7_01_v3	607390;609587	608694;614893	-;-	6612	276167
PF3D7_0200100	Pf3D7_02_v3;Pf3D7_02_v3	25232;29837	29035;31168	+;+	5136	211330
PF3D7_0200200	Pf3D7_02_v3;Pf3D7_02_v3	33030;34191	33965;34259	-;-	1005	16338
PF3D7_0200300	Pf3D7_02_v3	35927	37249	-	1323	19792
PF3D7_0200400	Pf3D7_02_v3;Pf3D7_02_v3	38287;39235	39132;39303	-;-	915	4450
PF3D7_0200500	Pf3D7_02_v3;Pf3D7_02_v3	41515;42805	42573;42858	-;-	1113	18578
PF3D7_0200600	Pf3D7_02_v3;Pf3D7_02_v3	45286;46490	46344;46558	-;-	1128	20131
PF3D7_0200700	Pf3D7_02_v3;Pf3D7_02_v3	48923;50094	49861;50147	-;-	993	4497
PF3D7_0200800	Pf3D7_02_v3;Pf3D7_02_v3	51842;52490	52487;53055	-;-	1212	31309
PF3D7_0200900	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	54254;54430;54936;55187	54427;54933;55082;55255	-;-;-;-	894	13393
PF3D7_0201000	Pf3D7_02_v3;Pf3D7_02_v3	57344;58368	58228;58421	-;-	939	31105
PF3D7_0201100	Pf3D7_02_v3	60107	60319	-	213	1612
PF3D7_0201200	Pf3D7_02_v3;Pf3D7_02_v3	63157;63360	63210;64376	+;+	1071	7745
PF3D7_0201300	Pf3D7_02_v3;Pf3D7_02_v3	66529;66697	66597;67545	+;+	918	21101
PF3D7_0201400	Pf3D7_02_v3;Pf3D7_02_v3	69088;69370	69156;69771	+;+	471	1002
PF3D7_0201500	Pf3D7_02_v3;Pf3D7_02_v3	72155;74286	74094;76714	-;-	4369	7684
PF3D7_0201600	Pf3D7_02_v3;Pf3D7_02_v3	76725;78605	78504;79448	-;-	2624	8683
PF3D7_0201700	Pf3D7_02_v3;Pf3D7_02_v3	80851;84073	83900;84937	-;-	3915	18124
PF3D7_0201800	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	86183;87675;88385;88681;89095	87400;88110;88534;88854;89482	-;-;-;-;-	2366	11143
PF3D7_0201900	Pf3D7_02_v3;Pf3D7_02_v3	90205;98728	98532;100157	-;-	9758	801357
PF3D7_0202000	Pf3D7_02_v3;Pf3D7_02_v3	102137;105686	105238;106662	-;-	4079	39844
PF3D7_0202100	Pf3D7_02_v3;Pf3D7_02_v3	108217;110392	110283;111658	-;-	3334	5951
PF3D7_0202200	Pf3D7_02_v3;Pf3D7_02_v3	111818;113452	113188;115064	-;-	2984	4384
PF3D7_0202300	Pf3D7_02_v3;Pf3D7_02_v3	117033;117653	117445;118455	+;+	1216	3592
PF3D7_0202400	Pf3D7_02_v3	118835	125090	+	6256	29868
PF3D7_0202500	Pf3D7_02_v3	127203	129089	+	1887	3350
PF3D7_0202600	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	129336;129342;129605;129605;129804;129804	129521;129521;129690;129687;134329;133563	-;-;-;-;-;-	4798	27817
PF3D7_0202700	Pf3D7_02_v3	134779	137615	+	2837	7885
PF3D7_0202800	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	137155;137684;138050;138353	137575;137909;138130;141252	-;-;-;-	3628	2613
PF3D7_0202900	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	138621;139121;139373;139515;139674;139993;140297;140534;140719;141119	138986;139172;139415;139582;139776;140153;140344;140595;140911;141266	+;+;+;+;+;+;+;+;+;+	1244	0
PF3D7_0203000	Pf3D7_02_v3	141269	148515	-	7247	36684
PF3D7_0203100	Pf3D7_02_v3	148914	157296	-	8383	65999
PF3D7_0203200	Pf3D7_02_v3	157937	159891	-	1955	7159
PF3D7_0203300	Pf3D7_02_v3	160393	161450	+	1058	3228
PF3D7_0203400	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	161491;162207;162697;162897	162078;162374;162786;163864	-;-;-;-	1814	1000
PF3D7_0203500	Pf3D7_02_v3	164269	164340	+	72	137
PF3D7_0203600	Pf3D7_02_v3	165912	168559	+	2648	4562
PF3D7_0203700	Pf3D7_02_v3;Pf3D7_02_v3	168580;168855	168719;170767	-;-	2053	19646
PF3D7_0203800	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	171277;171882;172168;172665;172872;173089;173359;173580;173848;174067;174232;174514	171721;171977;172532;172761;172910;173196;173430;173670;173959;174108;174280;175196	-;-;-;-;-;-;-;-;-;-;-;-	2199	8680
PF3D7_0203900	Pf3D7_02_v3	176370	178737	+	2368	14012
PF3D7_0204000	Pf3D7_02_v3;Pf3D7_02_v3	178955;181103	180924;181941	+;+	2809	9565
PF3D7_0204100	Pf3D7_02_v3	181749	189877	-	8129	62103
PF3D7_0204200	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	192755;193328;193649;193864;194161	193200;193490;193718;194039;194248	+;+;+;+;+	943	2073
PF3D7_0204300	Pf3D7_02_v3	194272	197151	-	2880	10310
PF3D7_0204400	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	197153;197367;197740;197984	197281;197465;197841;198043	-;-;-;-	390	1334
PF3D7_0204500	Pf3D7_02_v3	198353	199613	-	1261	8139
PF3D7_0204600	Pf3D7_02_v3	199889	204454	-	4566	20630
PF3D7_0204700	Pf3D7_02_v3	204784	207425	-	2642	12719
PF3D7_0204800	Pf3D7_02_v3	209149	211029	-	1881	5111
PF3D7_0204900	Pf3D7_02_v3;Pf3D7_02_v3	211067;211681	211465;212635	+;+	1354	5974
PF3D7_0205000	Pf3D7_02_v3	212672	214714	-	2043	6008
